"","age","gender","lg","id","vowel","step","target","response","RT"
"1046",25,"Male","Mandarin","3Mandarin","[ʉ]",6,0,1,442.2
"1062",25,"Male","Mandarin","3Mandarin","[y]",6,0,1,384.7
"1065",25,"Male","Mandarin","3Mandarin","[i]",7,0,1,432.2
"1069",25,"Male","Mandarin","3Mandarin","[i]",0,0,0,88.8
"1074",25,"Male","Mandarin","3Mandarin","[ʉ]",7,0,1,395.7
"1075",25,"Male","Mandarin","3Mandarin","[y]",3,0,0,389.4
"1076",25,"Male","Mandarin","3Mandarin","[ʉ]",2,0,0,220.7
"1083",25,"Male","Mandarin","3Mandarin","[ʉ]",1,0,0,343.3
"1086",25,"Male","Mandarin","3Mandarin","[ʉ]",3,0,1,268.4
"1091",25,"Male","Mandarin","3Mandarin","[u]",0,0,0,328
"1099",25,"Male","Mandarin","3Mandarin","[i]",1,0,0,85.2
"1108",25,"Male","Mandarin","3Mandarin","[i]",6,0,1,415.2
"1109",25,"Male","Mandarin","3Mandarin","[y]",0,0,0,332.7
"1111",25,"Male","Mandarin","3Mandarin","[ʉ]",0,0,0,328.6
"1118",25,"Male","Mandarin","3Mandarin","[y]",5,0,1,341.6
"1122",25,"Male","Mandarin","3Mandarin","[y]",4,0,1,528.8
"1130",25,"Male","Mandarin","3Mandarin","[y]",1,0,0,92.5
"1139",25,"Male","Mandarin","3Mandarin","[ʉ]",8,0,1,459
"1143",25,"Male","Mandarin","3Mandarin","[i]",5,0,1,257.7
"1147",25,"Male","Mandarin","3Mandarin","[i]",4,0,1,319.7
"1149",25,"Male","Mandarin","3Mandarin","[i]",2,0,0,1001.2
"1150",25,"Male","Mandarin","3Mandarin","[ʉ]",0,0,0,117.5
"1161",28.5,"Female","Mandarin","78Mandarin","[y]",1,0,0,355.3
"1176",28.5,"Female","Mandarin","78Mandarin","[ʉ]",4,0,1,432.1
"1177",28.5,"Female","Mandarin","78Mandarin","[ʉ]",1,0,1,454.8
"1181",28.5,"Female","Mandarin","78Mandarin","[ʉ]",6,0,1,411.8
"1186",28.5,"Female","Mandarin","78Mandarin","[ʉ]",0,0,0,335.5
"1190",28.5,"Female","Mandarin","78Mandarin","[ʉ]",7,0,1,449.7
"1191",28.5,"Female","Mandarin","78Mandarin","[y]",4,0,1,654.8
"1194",28.5,"Female","Mandarin","78Mandarin","[i]",8,0,1,374
"1196",28.5,"Female","Mandarin","78Mandarin","[i]",5,0,1,349.8
"1197",28.5,"Female","Mandarin","78Mandarin","[i]",1,0,0,456.5
"1206",28.5,"Female","Mandarin","78Mandarin","[y]",0,0,0,314.7
"1210",28.5,"Female","Mandarin","78Mandarin","[ʉ]",8,0,1,441.3
"1211",28.5,"Female","Mandarin","78Mandarin","[y]",2,0,1,352.4
"1214",28.5,"Female","Mandarin","78Mandarin","[ʉ]",5,0,1,350
"1236",28.5,"Female","Mandarin","78Mandarin","[y]",5,0,1,404.9
"1238",28.5,"Female","Mandarin","78Mandarin","[i]",4,0,1,338.8
"1239",28.5,"Female","Mandarin","78Mandarin","[i]",7,0,1,401.1
"1241",28.5,"Female","Mandarin","78Mandarin","[i]",0,0,0,347.4
"1248",28.5,"Female","Mandarin","78Mandarin","[y]",6,0,1,491.8
"1250",28.5,"Female","Mandarin","78Mandarin","[y]",3,0,1,820.4
"1251",28.5,"Female","Mandarin","78Mandarin","[ʉ]",0,0,0,366.6
"1252",28.5,"Female","Mandarin","78Mandarin","[i]",2,0,0,275.4
"1253",28.5,"Female","Mandarin","78Mandarin","[i]",0,0,0,223.9
"1258",28.5,"Female","Mandarin","78Mandarin","[u]",0,0,1,445.1
"1266",28.5,"Female","Mandarin","78Mandarin","[i]",6,0,1,334.9
"1271",28.5,"Female","Mandarin","78Mandarin","[i]",3,0,0,483.2
"1274",28.5,"Female","Mandarin","78Mandarin","[ʉ]",2,0,1,712.1
"1285",28.5,"Female","Mandarin","78Mandarin","[y]",0,0,0,273.8
"1294",28.5,"Female","Mandarin","78Mandarin","[u]",0,0,0,282.6
"1296",28.5,"Female","Mandarin","78Mandarin","[ʉ]",3,0,1,353
"1303",28.5,"Male","Mandarin","2Mandarin","[u]",0,0,0,381.2
"1313",28.5,"Male","Mandarin","2Mandarin","[u]",0,0,0,349.1
"1318",28.5,"Male","Mandarin","2Mandarin","[ʉ]",0,0,0,454.5
"1319",28.5,"Male","Mandarin","2Mandarin","[ʉ]",0,0,0,367.4
"1323",28.5,"Male","Mandarin","2Mandarin","[ʉ]",5,0,1,457.8
"1325",28.5,"Male","Mandarin","2Mandarin","[y]",6,0,1,355.8
"1329",28.5,"Male","Mandarin","2Mandarin","[i]",1,0,0,333.9
"1334",28.5,"Male","Mandarin","2Mandarin","[i]",0,0,0,430.7
"1337",28.5,"Male","Mandarin","2Mandarin","[ʉ]",1,0,0,193.1
"1342",28.5,"Male","Mandarin","2Mandarin","[y]",4,0,1,374.4
"1344",28.5,"Male","Mandarin","2Mandarin","[ʉ]",2,0,0,299.7
"1348",28.5,"Male","Mandarin","2Mandarin","[ʉ]",7,0,1,507.3
"1352",28.5,"Male","Mandarin","2Mandarin","[ʉ]",8,0,1,509.4
"1353",28.5,"Male","Mandarin","2Mandarin","[y]",3,0,1,815.9
"1358",28.5,"Male","Mandarin","2Mandarin","[y]",0,0,0,461.5
"1363",28.5,"Male","Mandarin","2Mandarin","[y]",0,0,1,267.7
"1367",28.5,"Male","Mandarin","2Mandarin","[i]",0,0,0,443.7
"1370",28.5,"Male","Mandarin","2Mandarin","[ʉ]",3,0,0,897.8
"1377",28.5,"Male","Mandarin","2Mandarin","[i]",5,0,0,492.2
"1380",28.5,"Male","Mandarin","2Mandarin","[i]",6,0,1,612.4
"1390",28.5,"Male","Mandarin","2Mandarin","[i]",8,0,1,517.5
"1399",28.5,"Male","Mandarin","2Mandarin","[i]",4,0,1,405.1
"1401",28.5,"Male","Mandarin","2Mandarin","[i]",2,0,1,533.6
"1409",28.5,"Male","Mandarin","2Mandarin","[i]",3,0,0,346.7
"1411",28.5,"Male","Mandarin","2Mandarin","[ʉ]",4,0,1,778.5
"1417",28.5,"Male","Mandarin","2Mandarin","[ʉ]",6,0,1,516.7
"1419",28.5,"Male","Mandarin","2Mandarin","[y]",1,0,0,465.2
"1428",28.5,"Male","Mandarin","2Mandarin","[i]",7,0,1,368.3
"1429",28.5,"Male","Mandarin","2Mandarin","[y]",5,0,1,423.7
"1438",28.5,"Male","Mandarin","2Mandarin","[y]",2,0,0,166.7
"1442",25,"Female","Mandarin","36Mandarin","[ʉ]",5,0,1,678.2
"1447",25,"Female","Mandarin","36Mandarin","[i]",4,0,1,287
"1448",25,"Female","Mandarin","36Mandarin","[ʉ]",1,0,0,391.5
"1451",25,"Female","Mandarin","36Mandarin","[u]",0,0,0,55.5
"1453",25,"Female","Mandarin","36Mandarin","[i]",6,0,1,359.3
"1454",25,"Female","Mandarin","36Mandarin","[y]",5,0,1,267.5
"1461",25,"Female","Mandarin","36Mandarin","[ʉ]",0,0,0,138.1
"1463",25,"Female","Mandarin","36Mandarin","[u]",0,0,0,625
"1468",25,"Female","Mandarin","36Mandarin","[i]",7,0,1,604.3
"1474",25,"Female","Mandarin","36Mandarin","[i]",2,0,0,837.1
"1478",25,"Female","Mandarin","36Mandarin","[ʉ]",7,0,1,361
"1479",25,"Female","Mandarin","36Mandarin","[y]",0,0,1,517.8
"1484",25,"Female","Mandarin","36Mandarin","[ʉ]",4,0,1,537.2
"1491",25,"Female","Mandarin","36Mandarin","[i]",5,0,1,381.3
"1503",25,"Female","Mandarin","36Mandarin","[ʉ]",8,0,0,404.7
"1506",25,"Female","Mandarin","36Mandarin","[y]",1,0,0,582.4
"1507",25,"Female","Mandarin","36Mandarin","[y]",6,0,1,877.2
"1523",25,"Female","Mandarin","36Mandarin","[i]",1,0,0,229.4
"1527",25,"Female","Mandarin","36Mandarin","[i]",3,0,1,85.1
"1531",25,"Female","Mandarin","36Mandarin","[y]",2,0,0,439.7
"1544",25,"Female","Mandarin","36Mandarin","[y]",3,0,1,644.1
"1547",25,"Female","Mandarin","36Mandarin","[ʉ]",2,0,1,292.9
"1551",25,"Female","Mandarin","36Mandarin","[i]",8,0,1,976.9
"1554",25,"Female","Mandarin","36Mandarin","[y]",0,0,0,384.4
"1558",25,"Female","Mandarin","36Mandarin","[ʉ]",0,0,1,1071.3
"1571",25,"Female","Mandarin","36Mandarin","[ʉ]",6,0,1,531.2
"1581",25,"Female","Mandarin","36Mandarin","[ʉ]",3,0,0,942.2
"1582",25,"Female","Mandarin","36Mandarin","[y]",4,0,1,833
"1583",25,"Female","Mandarin","36Mandarin","[i]",0,0,0,437.5
"1584",25,"Female","Mandarin","36Mandarin","[i]",0,0,0,253
